ids,labels,parents
309,Quilted Textiles value:1912,Woven fabrics
310,Gum Coated Textile Fabric value:1779,Textile fabrics
311,Polyamide Fabric value:15057,Textile fabrics
312,Plastic Coated Textile Fabric value:9488374,Textile fabrics
313,Linoleum value:606,Textile fabrics
314,Textile Wall Coverings value:32000,Textile fabrics
315,Rubber Textile Fabric value:423151,Textile fabrics
316,Coated Textile Fabric value:4983,Textile fabrics
317,Hose Piping Textiles value:361336,Textile fabrics
318,Conveyor Belt Textiles value:4650,Textile fabrics
319,Technical Use Textiles value:18606814,Textile fabrics
320,Pile Fabric value:7617,Knitted or chrocheted fabrics
321,Light Rubberized Knitted Fabric value:959694,Knitted or chrocheted fabrics
322,Knit Men's Coats value:19530,Knitted or crocheted apparel and clothing accessories
323,Knit Women's Coats value:8796,Knitted or crocheted apparel and clothing accessories
324,Knit Men's Suits value:776824,Knitted or crocheted apparel and clothing accessories
325,Knit Women's Suits value:298322,Knitted or crocheted apparel and clothing accessories
326,Knit Men's Shirts value:101564,Knitted or crocheted apparel and clothing accessories
327,Knit Women's Shirts value:68230,Knitted or crocheted apparel and clothing accessories
328,Knit Men's Undergarments value:80739,Knitted or crocheted apparel and clothing accessories
329,Knit Women's Undergarments value:54760,Knitted or crocheted apparel and clothing accessories
330,Knit T-shirts value:1232329,Knitted or crocheted apparel and clothing accessories
331,Knit Sweaters value:275800,Knitted or crocheted apparel and clothing accessories
332,Knit Babies' Garments value:55111,Knitted or crocheted apparel and clothing accessories
333,Knit Active Wear value:52560,Knitted or crocheted apparel and clothing accessories
334,Garments of Impregnated Fabric value:3994,Knitted or crocheted apparel and clothing accessories
335,Other Knit Garments value:658057,Knitted or crocheted apparel and clothing accessories
336,Knit Socks and Hosiery value:31209603,Knitted or crocheted apparel and clothing accessories
337,Knit Gloves value:61567,Knitted or crocheted apparel and clothing accessories
338,Other Knit Clothing Accessories value:83050,Knitted or crocheted apparel and clothing accessories
339,Non-Knit Men's Coats value:188182,Non-knit or crocheted apparel and clothing accessories
340,Non-Knit Women's Coats value:57311,Non-knit or crocheted apparel and clothing accessories
341,Non-Knit Men's Suits value:2864326,Non-knit or crocheted apparel and clothing accessories
342,Non-Knit Women's Suits value:1316035,Non-knit or crocheted apparel and clothing accessories
343,Non-Knit Men's Shirts value:567287,Non-knit or crocheted apparel and clothing accessories
344,Non-Knit Women's Shirts value:241173,Non-knit or crocheted apparel and clothing accessories
345,Non-Knit Men's Undergarments value:299424,Non-knit or crocheted apparel and clothing accessories
346,Non-Knit Women's Undergarments value:168015,Non-knit or crocheted apparel and clothing accessories
347,Non-Knit Babies' Garments value:51130,Non-knit or crocheted apparel and clothing accessories
348,Felt or Coated Fabric Garments value:213535,Non-knit or crocheted apparel and clothing accessories
349,Non-Knit Active Wear value:287757,Non-knit or crocheted apparel and clothing accessories
350,Other Women's Undergarments value:7956717,Non-knit or crocheted apparel and clothing accessories
351,Handkerchiefs value:181,Non-knit or crocheted apparel and clothing accessories
352,Scarves value:91720,Non-knit or crocheted apparel and clothing accessories
353,Neck Ties value:5053,Non-knit or crocheted apparel and clothing accessories
354,Non-Knit Gloves value:8539,Non-knit or crocheted apparel and clothing accessories
355,Other Non-Knit Clothing Accessories value:135025,Non-knit or crocheted apparel and clothing accessories
356,Hat Forms value:2,Headgear and parts thereof
357,Hat Shapes value:5,Headgear and parts thereof
358,Hats value:2639,Headgear and parts thereof
359,Knitted Hats value:499612,Headgear and parts thereof
360,Other Headwear value:306768,Headgear and parts thereof
361,Headbands and Linings value:22223,Headgear and parts thereof
362,Bricks value:3727,Ceramic products
363,Refractory Bricks value:61297,Ceramic products
364,Refractory Ceramics value:34537,Ceramic products
365,Ceramic Bricks value:44256,Ceramic products
366,Unglazed Ceramics value:2065155,Ceramic products
367,Laboratory Ceramic Ware value:29880,Ceramic products
368,Bathroom Ceramics value:1390891,Ceramic products
369,Porcelain Tableware value:38247,Ceramic products
370,Ceramic Tableware value:104315,Ceramic products
371,Ornamental Ceramics value:136899,Ceramic products
372,Other Ceramic Articles value:99042,Ceramic products
373,Glass Scraps value:546,Glass and glassware
374,Glass Balls value:500,Glass and glassware
375,Cast or Rolled Glass value:661528,Glass and glassware
376,Blown Glass value:78334,Glass and glassware
377,Float Glass value:1135847,Glass and glassware
378,Glass with Edge Workings value:5798,Glass and glassware
379,Safety Glass value:2661967,Glass and glassware
380,Insulating Glass value:33755,Glass and glassware
381,Glass Mirrors value:420095,Glass and glassware
382,Glass Bottles value:88872120,Glass and glassware
383,Glass Bulbs value:760,Glass and glassware
384,Interior Decorative Glassware value:1496441,Glass and glassware
385,Eyewear and Clock Glass value:2,Glass and glassware
386,Glass Bricks value:1094270,Glass and glassware
387,Laboratory Glassware value:9856757,Glass and glassware
388,Glass Beads value:35142,Glass and glassware
389,Glass Fibers value:14289782,Glass and glassware
390,Other Glass Articles value:50458,Glass and glassware
391,Pearls value:288,Precious metals gems and jewelry
392,Diamonds value:33546,Precious metals gems and jewelry
393,Precious Stones value:13340,Precious metals gems and jewelry
394,Synthetic Reconstructed Jewellery Stones value:1457,Precious metals gems and jewelry
395,Silver value:159435,Precious metals gems and jewelry
396,Gold value:29912825,Precious metals gems and jewelry
397,Gold Clad Metals value:202503,Precious metals gems and jewelry
398,Platinum value:7134529,Precious metals gems and jewelry
399,Platinum Clad Metals value:1219311,Precious metals gems and jewelry
400,Precious Metal Scraps value:5372195,Precious metals gems and jewelry
401,Jewellery value:2865945,Precious metals gems and jewelry
402,Metal-Clad Products value:14077,Precious metals gems and jewelry
403,Other Precious Metal Products value:597506,Precious metals gems and jewelry
404,Pearl Products value:40732,Precious metals gems and jewelry
405,Imitation Jewellery value:4681069,Precious metals gems and jewelry
406,Coin value:16504,Precious metals gems and jewelry
407,Ferroalloys value:2241689,Iron and steel
408,Iron Reductions value:1432,Iron and steel
409,Scrap Iron value:24359022,Iron and steel
410,Iron Powder value:211970,Iron and steel
411,Iron Ingots value:3897277,Iron and steel
412,Semi-Finished Iron value:55878,Iron and steel
413,Hot-Rolled Iron value:224933,Iron and steel
414,Cold-Rolled Iron value:498980,Iron and steel
415,Coated Flat-Rolled Iron value:37903800,Iron and steel
416,Large Flat-Rolled Iron value:195500,Iron and steel
417,Large Coated Flat-Rolled Iron value:1806651,Iron and steel
418,Hot-Rolled Iron Bars value:9,Iron and steel
419,Raw Iron Bars value:58939206,Iron and steel
420,Other Iron Bars value:688187,Iron and steel
421,Iron Blocks value:9178837,Iron and steel
422,Iron Wire value:5092674,Iron and steel
423,Stainless Steel Ingots value:9841,Iron and steel
424,Large Flat-Rolled Stainless Steel value:503921,Iron and steel
425,Flat-Rolled Stainless Steel value:453661,Iron and steel
426,Hot-Rolled Stainless Steel Bars value:1311,Iron and steel
427,Other Stainless Steel Bars value:319866,Iron and steel
428,Stainless Steel Wire value:5234414,Iron and steel
429,Steel Ingots value:4064,Iron and steel
430,Flat Flat-Rolled Steel value:79540,Iron and steel
431,Flat-Rolled Iron value:300887,Iron and steel
432,Steel Bars value:1326505,Iron and steel
433,Other Steel Bars value:667604,Iron and steel
434,Steel Wire value:267167,Iron and steel
435,Iron Sheet Piling value:4473,Iron or steel articles
436,Iron Railway Products value:419,Iron or steel articles
437,Cast Iron Pipes value:41993,Iron or steel articles
438,Iron Pipes value:2695428,Iron or steel articles
439,Other Large Iron Pipes value:18394,Iron or steel articles
440,Other Small Iron Pipes value:28168389,Iron or steel articles
441,Iron Pipe Fittings value:1016422,Iron or steel articles
442,Iron Structures value:8261072,Iron or steel articles
443,Large Iron Containers value:1327971,Iron or steel articles
444,Small Iron Containers value:11573436,Iron or steel articles
445,Iron Gas Containers value:1150343,Iron or steel articles
446,Stranded Iron Wire value:1556847,Iron or steel articles
447,Barbed Wire value:4785718,Iron or steel articles
448,Iron Cloth value:3562487,Iron or steel articles
449,Iron Chains value:326713,Iron or steel articles
450,Iron Anchors value:11387,Iron or steel articles
451,Iron Nails value:291599,Iron or steel articles
452,Iron Fasteners value:1685793,Iron or steel articles
453,Iron Sewing Needles value:25844,Iron or steel articles
454,Iron Springs value:119702,Iron or steel articles
455,Iron Stovetops value:712176,Iron or steel articles
456,Iron Radiators value:403807,Iron or steel articles
457,Iron Housewares value:529168,Iron or steel articles
458,Iron Toiletry value:309661,Iron or steel articles
459,Other Cast Iron Products value:718155,Iron or steel articles
460,Other Iron Products value:33591116,Iron or steel articles
461,Raw Copper value:256907,Copper and articles thereof
462,Refined Copper value:986507,Copper and articles thereof
463,Scrap Copper value:19166963,Copper and articles thereof
464,Copper Powder value:4529,Copper and articles thereof
465,Copper Bars value:350524,Copper and articles thereof
466,Copper Wire value:1575251,Copper and articles thereof
467,Copper Plating value:200880,Copper and articles thereof
468,Copper Foil value:28618,Copper and articles thereof
469,Copper Pipes value:91597,Copper and articles thereof
470,Copper Pipe Fittings value:1678253,Copper and articles thereof
471,Stranded Copper Wire value:450792,Copper and articles thereof
472,Copper Fasteners value:43945,Copper and articles thereof
473,Copper Housewares value:27097,Copper and articles thereof
474,Other Copper Products value:2664953,Copper and articles thereof
475,Scrap Nickel value:40245,Nickel and articles thereof
476,Nickel Bars value:26141773,Nickel and articles thereof
477,Nickel Pipes value:1112018,Nickel and articles thereof
478,Other Nickel Products value:707818,Nickel and articles thereof
479,Raw Aluminium value:2231867,Aluminium and articles thereof
480,Scrap Aluminium value:25057357,Aluminium and articles thereof
481,Aluminium Bars value:9025860,Aluminium and articles thereof
482,Aluminium Wire value:983307,Aluminium and articles thereof
483,Aluminium Plating value:6218952,Aluminium and articles thereof
484,Aluminium Foil value:13754309,Aluminium and articles thereof
485,Aluminium Pipes value:85337,Aluminium and articles thereof
486,Aluminium Pipe Fittings value:40451,Aluminium and articles thereof
487,Aluminium Structures value:1285480,Aluminium and articles thereof
488,Large Aluminium Containers value:4361,Aluminium and articles thereof
489,Aluminium Cans value:5171199,Aluminium and articles thereof
490,Aluminium Gas Containers value:33581,Aluminium and articles thereof
491,Stranded Aluminium Wire value:2431784,Aluminium and articles thereof
492,Aluminium Housewares value:197751,Aluminium and articles thereof
493,Other Aluminium Products value:3753383,Aluminium and articles thereof
494,Raw Lead value:15104809,Lead and articles thereof
495,Scrap Lead value:222180,Lead and articles thereof
496,Lead Sheets value:416693,Lead and articles thereof
497,Other Lead Products value:504,Lead and articles thereof
498,Raw Zinc value:23698,Zinc and articles thereof
499,Scrap Waste value:288541,Zinc and articles thereof
500,Zinc Bars value:9,Zinc and articles thereof
501,Zinc Sheets value:760,Zinc and articles thereof
502,Other Zinc Products value:119483,Zinc and articles thereof
503,Garden Tools value:40092,Tools and cutlery
504,Hand Saws value:39256,Tools and cutlery
505,Hand Tools value:1482802,Tools and cutlery
506,Wrenches value:165338,Tools and cutlery
507,Other Hand Tools value:622069,Tools and cutlery
508,Tool Sets value:172959,Tools and cutlery
509,Interchangeable Tool Parts value:4347255,Tools and cutlery
510,Cutting Blades value:246589,Tools and cutlery
511,Tool Plates value:13812,Tools and cutlery
512,Cooking Hand Tools value:27932,Tools and cutlery
513,Knives value:57583,Tools and cutlery
514,Razor Blades value:20259,Tools and cutlery
515,Scissors value:209325,Tools and cutlery
516,Other Cutlery value:20581,Tools and cutlery
517,Cutlery Sets value:15748,Tools and cutlery
518,Steam Boilers value:480823,Machinery and appliances
519,Central Heating Boilers value:941,Machinery and appliances
520,Boiler Plants value:2953,Machinery and appliances
521,Water and Gas Generators value:361231,Machinery and appliances
522,Steam Turbines value:47999,Machinery and appliances
523,Spark-Ignition Engines value:1570832,Machinery and appliances
524,Combustion Engines value:299313,Machinery and appliances
525,Engine Parts value:1361786,Machinery and appliances
526,Hydraulic Turbines value:332,Machinery and appliances
527,Gas Turbines value:10008602,Machinery and appliances
528,Other Engines value:2579120,Machinery and appliances
529,Liquid Pumps value:8166985,Machinery and appliances
530,Air Pumps value:2230963,Machinery and appliances
531,Air Conditioners value:520926,Machinery and appliances
532,Liquid Fuel Furnaces value:8895,Machinery and appliances
533,Industrial Furnaces value:499387,Machinery and appliances
534,Refrigerators value:2355616,Machinery and appliances
535,Other Heating Machinery value:3031192,Machinery and appliances
536,Rolling Machines value:85310,Machinery and appliances
537,Centrifuges value:5109274,Machinery and appliances
538,Washing and Bottling Machines value:2190347,Machinery and appliances
539,Scales value:484095,Machinery and appliances
540,Liquid Dispersing Machines value:3478378,Machinery and appliances
541,Pulley Systems value:498723,Machinery and appliances
542,Cranes value:1978009,Machinery and appliances
543,Fork-Lifts value:1627490,Machinery and appliances
544,Lifting Machinery value:2898350,Machinery and appliances
545,Large Construction Vehicles value:3877188,Machinery and appliances
546,Other Construction Vehicles value:1839984,Machinery and appliances
547,Excavation Machinery value:2743998,Machinery and appliances
548,Soil Preparation Machinery value:2504365,Machinery and appliances
549,Harvesting Machinery value:1185928,Machinery and appliances
550,Dairy Machinery value:40287,Machinery and appliances
551,Fruit Pressing Machinery value:4889,Machinery and appliances
552,Other Agricultural Machinery value:402446,Machinery and appliances
553,Mill Machinery value:3215148,Machinery and appliances
554,Industrial Food Preperation Machinery value:2776131,Machinery and appliances
555,Papermaking Machines value:109313,Machinery and appliances
556,Book-binding Machines value:28281,Machinery and appliances
557,Other Paper Machinery value:1344924,Machinery and appliances
558,Print Production Machinery value:1286716,Machinery and appliances
559,Industrial Printers value:4815601,Machinery and appliances
560,Artificial Textile Machinery value:50000,Machinery and appliances
561,Textile Fiber Machinery value:104022,Machinery and appliances
562,Knitting Machines value:18462,Machinery and appliances
563,Knitting Machine Accessories value:102481,Machinery and appliances
564,Felt Machinery value:18462,Machinery and appliances
565,Household Washing Machines value:74841,Machinery and appliances
566,Textile Processing Machines value:155971,Machinery and appliances
567,Sewing Machines value:221844,Machinery and appliances
568,Leather Machinery value:52488,Machinery and appliances
569,Casting Machines value:22328,Machinery and appliances
570,Metal-Rolling Mills value:67759,Machinery and appliances
571,Non-Mechanical Removal Machinery value:199374,Machinery and appliances
572,Metalworking Transfer Machines value:98876,Machinery and appliances
573,Metal Lathes value:91443,Machinery and appliances
574,Drilling Machines value:74272,Machinery and appliances
575,Metal Finishing Machines value:371342,Machinery and appliances
576,Metalworking Machines value:181241,Machinery and appliances
577,Forging Machines value:391131,Machinery and appliances
578,Other Non-Metal Removal Machinery value:825244,Machinery and appliances
579,Stone Working Machines value:11274,Machinery and appliances
580,Woodworking machines value:353255,Machinery and appliances
581,Metalworking Machine Parts value:857697,Machinery and appliances
582,Motor-working Tools value:799500,Machinery and appliances
583,Soldering and Welding Machinery value:535450,Machinery and appliances
584,Calculators value:211509,Machinery and appliances
585,Computers value:6199025,Machinery and appliances
586,Other Office Machines value:102174,Machinery and appliances
587,Office Machine Parts value:40630664,Machinery and appliances
588,Stone Processing Machines value:2796761,Machinery and appliances
589,Glass Working Machines value:19650,Machinery and appliances
590 vending Machines value:32708,Machinery and appliances
591,Rubberworking Machinery value:4488747,Machinery and appliances
592,Tobacco Processing Machines value:754121,Machinery and appliances
593,Machinery Having Individual Functions value:7547294,Machinery and appliances
594,Metal Molds value:7701731,Machinery and appliances
595 valves value:5175443,Machinery and appliances
596,Ball Bearings value:468727,Machinery and appliances
597,Transmissions value:1469708,Machinery and appliances
598,Gaskets value:590937,Machinery and appliances
599,Boat Propellers value:532995,Machinery and appliances
600,Electric Motors value:7071900,Electrical machinery and equipment
601,Electric Generating Sets value:306357,Electrical machinery and equipment
602,Electric Motor Parts value:2864148,Electrical machinery and equipment
603,Electrical Transformers value:14116783,Electrical machinery and equipment
604,Electromagnets value:825125,Electrical machinery and equipment
605,Batteries value:11525760,Electrical machinery and equipment
606,Electric Batteries value:4300886,Electrical machinery and equipment
607 vacuum Cleaners value:1287531,Electrical machinery and equipment
608,Other Domestic Electric Housewares value:220696,Electrical machinery and equipment
609,Hair Trimmers value:5692,Electrical machinery and equipment
610,Electrical Ignitions value:829298,Electrical machinery and equipment
611,Electrical Lighting and Signalling Equipment value:30073476,Electrical machinery and equipment
612,Portable Lighting value:21400,Electrical machinery and equipment
613,Electric Furnaces value:471409,Electrical machinery and equipment
614,Electric Soldering Equipment value:4811958,Electrical machinery and equipment
615,Electric Heaters value:1036085,Electrical machinery and equipment
616,Telephones value:6847855,Electrical machinery and equipment
617,Microphones and Headphones value:1703430,Electrical machinery and equipment
618,Sound Recording Equipment value:23640,Electrical machinery and equipment
619,Dictation Machines value:11301,Electrical machinery and equipment
620 video Recording Equipment value:532952,Electrical machinery and equipment
621,Audio and Video Recording Accessories value:4304,Electrical machinery and equipment
622,Blank Audio Media value:2644138,Electrical machinery and equipment
623,Sound Recordings value:16372,Electrical machinery and equipment
624,Broadcasting Equipment value:9021391,Electrical machinery and equipment
625,Navigation Equipment value:312777,Electrical machinery and equipment
626,Radio Receivers value:120584,Electrical machinery and equipment
627 video Displays value:3633098,Electrical machinery and equipment
628,Broadcasting Accessories value:5761306,Electrical machinery and equipment
629,Traffic Signals value:10110,Electrical machinery and equipment
630,Audio Alarms value:1121168,Electrical machinery and equipment
631,Electrical Capacitors value:1147077,Electrical machinery and equipment
632,Electrical Resistors value:44394674,Electrical machinery and equipment
633,Printed Circuit Boards value:13986760,Electrical machinery and equipment
634,High-voltage Protection Equipment value:401750,Electrical machinery and equipment
635,Low-voltage Protection Equipment value:186426436,Electrical machinery and equipment
636,Electrical Control Boards value:12338384,Electrical machinery and equipment
637,Electrical Power Accessories value:10602837,Electrical machinery and equipment
638,Electric Filament value:373984,Electrical machinery and equipment
639,Cathode Tubes value:52614,Electrical machinery and equipment
640,Semiconductor Devices value:168168393,Electrical machinery and equipment
641,Integrated Circuits value:56461102,Electrical machinery and equipment
642,Other Electrical Machinery value:5886125,Electrical machinery and equipment
643,Insulated Wire value:189867046,Electrical machinery and equipment
644,Carbon-based Electronics value:58795,Electrical machinery and equipment
645,Electrical Insulators value:26948,Electrical machinery and equipment
646,Metal Insulating Fittings value:42685,Electrical machinery and equipment
647,Electrical Parts value:45163118,Electrical machinery and equipment
648,Other Locomotives value:113400,Railway and other rolling stock
649,Railway Freight Cars value:66,Railway and other rolling stock
650,Locomotive Parts value:140474,Railway and other rolling stock
651,Railway Track Fixtures value:466,Railway and other rolling stock
652,Shipping containers value:1358103,Railway and other rolling stock
653,Tractors value:856246 vehicles and their parts
654,Buses value:415788 vehicles and their parts
655,Cars value:2235127 vehicles and their parts
656,Delivery Trucks value:726691 vehicles and their parts
657,Specialized Vehicles value:106203 vehicles and their parts
658 vehicle Chassis value:150 vehicles and their parts
659 vehicle Bodies value:79446 vehicles and their parts
660 vehicle Parts value:16521884 vehicles and their parts
661,Work Trucks value:61875 vehicles and their parts
662,Motorcycles value:283189 vehicles and their parts
663,Bicycles value:148671 vehicles and their parts
664,Wheelchairs value:1358 vehicles and their parts
665,Bi-Wheel Vehicle Parts value:423956 vehicles and their parts
666,Baby Carriages value:29993 vehicles and their parts
667,Trailers value:2533147 vehicles and their parts
668,Non-powered Aircraft value:601,Aircraft spacecraft and parts thereof
669,Planes Helicopters and/or Spacecraft value:555479,Aircraft spacecraft and parts thereof
670,Aircraft Parts value:5417480,Aircraft spacecraft and parts thereof
671,Parachutes value:990,Aircraft spacecraft and parts thereof
672,Aircraft Launch Gear value:150,Aircraft spacecraft and parts thereof
673,Passenger and Cargo Ships value:103202348,Ships boats and floating structures
674,Fishing Ships value:23270,Ships boats and floating structures
675,Recreational Boats value:3101929,Ships boats and floating structures
676,Special Purpose Ships value:210685,Ships boats and floating structures
677,Other Floating Structures value:207709,Ships boats and floating structures
678,Scrap Vessels value:300000,Ships boats and floating structures
679,Optical Fibers value:131837082,Instruments and apparatus
680,Mirrors and Lenses value:247415,Instruments and apparatus
681,Eyewear Frames value:279885,Instruments and apparatus
682,Eyewear value:236985,Instruments and apparatus
683,Binoculars and Telescopes value:40470,Instruments and apparatus
684,Cameras value:832227,Instruments and apparatus
685 video Cameras value:9887652,Instruments and apparatus
686,Image Projectors value:706896,Instruments and apparatus
687,Photocopiers value:1999335,Instruments and apparatus
688,Photo Lab Equipment value:904305,Instruments and apparatus
689,Microscopes value:334866,Instruments and apparatus
690,Non-optical Microscopes value:3353,Instruments and apparatus
691,LCDs value:203915,Instruments and apparatus
692,Compasses value:33153,Instruments and apparatus
693,Surveying Equipment value:1300984,Instruments and apparatus
694,Balances value:35516,Instruments and apparatus
695,Drafting Tools value:284384,Instruments and apparatus
696,Medical Instruments value:3012418374,Instruments and apparatus
697,Therapeutic Appliances value:55392206,Instruments and apparatus
698,Breathing Appliances value:26492,Instruments and apparatus
699,Orthopedic Appliances value:816882369,Instruments and apparatus
700,X-Ray Equipment value:1275180,Instruments and apparatus
701,Instructional Models value:1867046,Instruments and apparatus
702,Tensile Testing Machines value:1575619,Instruments and apparatus
703,Hydrometers value:3332308,Instruments and apparatus
704,Gas and Liquid Flow Measuring Instruments value:5965128,Instruments and apparatus
705,Chemical Analysis Instruments value:1293502,Instruments and apparatus
706,Utility Meters value:214798,Instruments and apparatus
707,Revolution Counters value:1002838,Instruments and apparatus
708,Oscilloscopes value:15208780,Instruments and apparatus
709,Other Measuring Instruments value:15885024,Instruments and apparatus
710,Thermostats value:11920445,Instruments and apparatus
711,Opto-Electric Instrument Parts value:7931135,Instruments and apparatus
712,Precious Metal Watches value:52910,Clocks and watches
713,Base Metal Watches value:457841,Clocks and watches
714,Clocks with Watch Movements value:826,Clocks and watches
715,Dashboard Clocks value:3403,Clocks and watches
716,Other Clocks value:35994,Clocks and watches
717,Time Recording Instruments value:15658,Clocks and watches
718,Time Switches value:81623,Clocks and watches
719,Watch Movements value:5229,Clocks and watches
720,Clock Movements value:8,Clocks and watches
721,Incomplete Movement Sets value:2390,Clocks and watches
722,Watch Cases and Parts value:414,Clocks and watches
723,Watch Straps value:2090,Clocks and watches
724,Other Clocks and Watches value:13330,Clocks and watches
725,Pianos value:11392,Musical instruments
726,String Instruments value:21986,Musical instruments
727,Wind Instruments value:2776,Musical instruments
728,Percussion value:24578,Musical instruments
729,Electric Musical Instruments value:17781,Musical instruments
730,Other Musical Instruments value:3277,Musical instruments
731,Musical Instrument Parts value:22024,Musical instruments
732,Handguns value:602,Arms and ammunition
733,Weapons Parts and Accessories value:176817,Arms and ammunition
734,Seats value:5845209,Furniture
735,Medical Furniture value:154836,Furniture
736,Other Furniture value:24868017,Furniture
737,Mattresses value:2113734,Furniture
738,Light Fixtures value:8877621,Furniture
739,Prefabricated Buildings value:729777,Furniture
740,Models and Stuffed Animals value:1555714,Toys and games
741 video and Card Games value:122668,Toys and games
742,Party Decorations value:837203,Toys and games
743,Sports Equipment value:19984949,Toys and games
744,Fishing and Hunting Equipment value:10191317,Toys and games
745,Fairground Amusements value:214032,Toys and games
746,Worked Ivory and Bone value:16098,Miscellaneous manufactured articles
747 vegetable and Mineral Carvings value:11200,Miscellaneous manufactured articles
748,Brooms value:1102949,Miscellaneous manufactured articles
749,Hand Sifters value:7904,Miscellaneous manufactured articles
750,Travel Kits value:22299,Miscellaneous manufactured articles
751,Buttons value:51503,Miscellaneous manufactured articles
752,Zippers value:18768,Miscellaneous manufactured articles
753,Pens value:375623,Miscellaneous manufactured articles
754,Pencils and Crayons value:110590,Miscellaneous manufactured articles
755,Chalkboards value:19759,Miscellaneous manufactured articles
756,Rubber Stamps value:31357,Miscellaneous manufactured articles
757,Ink Ribbons value:832063,Miscellaneous manufactured articles
758,Lighters value:21860,Miscellaneous manufactured articles
759,Smoking Pipes value:1025,Miscellaneous manufactured articles
760,Combs value:27660,Miscellaneous manufactured articles
761,Scent Sprays value:23519,Miscellaneous manufactured articles
762 vacuum Flask value:8443,Miscellaneous manufactured articles
763,Mannequins value:5740,Miscellaneous manufactured articles
